Product,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Product_1,58,214,283,186,361,142,429,187,205,310,438,361
Product_2,372,236,453,166,403,360,385,129,441,330,481,242
Product_3,143,166,131,99,156,95,325,461,271,171,213,113
Product_4,444,263,160,95,187,421,269,448,226,272,430,414
Product_5,425,124,455,283,487,375,370,448,414,496,428,112
Product_6,174,61,138,144,472,432,435,378,284,441,425,366
Product_7,172,473,273,368,346,174,288,161,121,321,473,462
Product_8,317,289,162,443,493,158,309,181,125,113,360,136
Product_9,131,317,134,157,397,292,397,443,468,390,472,142
Product_10,63,94,163,116,189,499,376,397,412,244,126,225
Product_11,120,375,398,233,393,404,373,420,495,229,204,316
Product_12,96,464,374,204,356,139,498,461,262,441,259,401
Product_13,372,128,432,145,193,415,457,499,300,322,88,397
Product_14,271,499,491,273,174,329,138,374,293,142,283,483
Product_15,357,171,446,57,310,438,309,150,410,52,79,457
Product_16,79,141,215,102,107,453,286,338,457,412,297,476
Product_17,372,384,221,215,100,454,295,233,490,90,163,414
Product_18,150,164,375,305,221,266,417,192,391,431,254,211
Product_19,326,320,281,313,227,226,239,476,289,128,434,334
Product_20,270,474,461,389,315,455,242,316,290,459,338,171
Product_21,331,138,347,238,447,80,172,136,181,364,118,134
Product_22,100,173,340,227,245,63,146,183,149,54,72,336
Product_23,72,64,399,240,302,488,350,387,369,67,429,152
Product_24,376,116,131,485,85,391,471,469,294,120,396,305
Product_25,486,370,255,328,96,135,215,138,150,295,76,453
Product_26,462,130,214,53,381,118,60,319,306,394,494,401
Product_27,334,78,138,236,344,89,234,315,184,389,320,214
Product_28,409,280,420,240,73,458,71,264,408,79,168,236
Product_29,236,169,240,51,481,101,271,178,491,470,250,383
Product_30,107,100,288,459,115,347,259,73,372,374,231,139
Product_31,235,262,190,205,233,451,156,245,52,261,334,304
Product_32,101,180,477,490,308,227,354,105,423,443,383,64
Product_33,102,169,432,144,462,393,234,127,497,63,283,262
Product_34,345,236,260,86,154,58,324,336,311,442,175,492
Product_35,105,418,161,339,470,386,410,204,311,347,431,423
Product_36,313,459,145,392,229,208,396,421,309,61,478,403
Product_37,290,198,366,253,112,89,376,448,66,136,379,369
Product_38,377,160,55,67,232,312,212,457,320,291,150,94
Product_39,120,225,241,84,247,495,67,103,152,93,130,220
Product_40,325,497,362,382,86,339,292,382,316,114,479,321
Product_41,456,223,435,408,120,126,389,273,335,81,228,134
Product_42,383,232,259,495,388,221,412,318,188,296,66,276
Product_43,68,273,470,372,449,329,281,452,231,167,444,483
Product_44,447,443,303,478,296,480,162,453,160,190,296,335
Product_45,353,211,280,499,268,94,89,63,319,120,312,392
Product_46,223,402,191,429,412,331,371,212,313,93,464,255
Product_47,455,130,317,248,396,493,245,453,156,197,394,492
Product_48,173,207,369,96,397,281,415,352,205,441,313,193
Product_49,137,436,132,468,280,471,373,156,238,362,173,493
Product_50,401,138,194,246,398,109,406,481,299,91,381,402
